Egg, turkey, whole, fresh, raw	01141
Egg substitute, powder	01144
Butter, without salt	01145
Cheese, parmesan, shredded	01146
Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)	01151
Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A	01152
Milk, canned, evaporated, with added vitamin A	01153
Milk, dry, nonfat, regular, with added vitamin A and vitamin D	01154
Milk, dry, nonfat, instant, without added vitamin A and vitamin D	01155
Cheese, goat, hard type	01156
Cheese, goat, semisoft type	01157
Cheese, goat, soft type	01159
Egg, yolk, raw, frozen, salted, pasteurized	01160
Cheese substitute, mozzarella	01161
Cheese sauce, prepared from recipe	01164
Cheese, mexican, queso anejo	01165
Cheese, mexican, queso asadero	01166
Cheese, mexican, queso chihuahua	01167
Cheese, low fat, cheddar or colby	01168
Cheese, low-sodium, cheddar or colby	01169
Egg, whole, raw, frozen, pasteurized	01171
Egg, white, raw, frozen, pasteurized	01172
Egg, white, dried	01173
Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D	01174
Milk, fluid, 1% fat, without added vitamin A and vitamin D	01175
Sour cream, reduced fat	01178
Sour cream, light	01179
Sour cream, fat free	01180
USDA Commodity, cheese, cheddar, reduced fat	01182
Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener	01184
Parmesan cheese topping, fat free	01185
Cheese, cream, fat free	01186
Yogurt, chocolate, nonfat milk	01187
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce	01188
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product	01189
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product	01190
KRAFT VELVEETA Pasteurized Process Cheese Spread	01191
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product	01192
KRAFT BREAKSTONE'S Reduced Fat Sour Cream	01193
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream	01194
Cream, half and half, fat free	01199
Reddi Wip Fat Free Whipped Topping	01200
Milk, chocolate, fluid, commercial, reduced fat, with added calcium	01202
Yogurt, fruit, lowfat, with low calorie sweetener	01203
Cheese, parmesan, dry grated, reduced fat	01204
Cream substitute, flavored, liquid	01205
Cream substitute, flavored, powdered	01206
Cheese, provolone, reduced fat	01208
Cheese, Mexican, blend, reduced fat	01209
Egg Mix, USDA Commodity	01210
Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D	01211
Milk, dry, whole, without added vitamin D	01212
Milk, canned, evaporated, without added vitamin A and vitamin D	01214
Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D	01215
Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D	01216
Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D	01217
Yogurt, fruit variety, nonfat, fortified with vitamin D	01218
Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D	01219
Yogurt, vanilla, low fat, 11 grams protein per 8 ounce, fortified with vitamin D	01220
Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D	01221
Yogurt, chocolate, nonfat milk, fortified with vitamin D	01222
Protein supplement, milk based, Muscle Milk, powder	01223
Protein supplement, milk based, Muscle Milk Light, powder	01224
Dulce de Leche	01225
Egg substitute, liquid or frozen, fat free	01226
Cheese, dry white, queso seco	01227
Cheese, fresh, queso fresco	01228
Cheese, white, queso blanco	01229
Milk, buttermilk, fluid, whole	01230
Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener	01231
Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener	01235
Ice cream, soft serve, chocolate	01236
Ice cream, bar or stick, chocolate covered	01237
Ice cream sandwich	01238
Ice cream cookie sandwich	01239
Ice cream cone, chocolate covered, with nuts, flavors other than chocolate	01240
Ice cream sandwich, made with light ice cream, vanilla	01241
Ice cream sandwich, vanilla, light, no sugar added	01242
Fat free ice cream, no sugar added, flavors other than chocolate	01243
Milk dessert bar, frozen, made from lowfat milk	01244
Nutritional supplement for people with diabetes, liquid	01250
Cheese, Mexican blend	01251
Dairy, Cheese product, pasteurized process, American, vitamin D fortified	01252
Cheese, pasteurized process, American, without added vitamin D	01253
Cheese food, pasteurized process, American, without added vitamin D	01254
Egg, whole, raw, frozen, salted, pasteurized	01255
Yogurt, Greek, plain, nonfat	01256
Egg, white, dried, stabilized, glucose reduced	01258
Cheese spread, American or Cheddar cheese base, reduced fat	01259
Cheese, cheddar, reduced fat	01260
Ice cream, light, soft serve, chocolate	01263
Ice cream bar, stick or nugget, with crunch coating	01264
Cheese, cheddar, nonfat or fat free	01265
Cheese, Swiss, nonfat or fat free	01266
Queso cotija	01267
Cheese, cheddar, sharp, sliced	01270
Cheese, mozzarella, low moisture, part-skim, shredded	01271
Yogurt, Greek, non fat, vanilla, CHOBANI	01275
Yogurt, Greek, strawberry, DANNON OIKOS	01276
Yogurt, Greek, non fat, vanilla, DANNON OIKOS	01278
Yogurt, Greek, non fat, strawberry, DANNON OIKOS	01280
Yogurt, Greek, non fat, strawberry, CHOBANI	01281
Spices, allspice, ground	02001
Spices, anise seed	02002
Spices, basil, dried	02003
Spices, bay leaf	02004
Spices, caraway seed	02005
Spices, cardamom	02006
Spices, celery seed	02007
Spices, chervil, dried	02008
Spices, chili powder	02009
Spices, cinnamon, ground	02010
Spices, cloves, ground	02011
Spices, coriander leaf, dried	02012
Spices, coriander seed	02013
Spices, cumin seed	02014
Spices, curry powder	02015
Spices, dill seed	02016
Spices, dill weed, dried	02017
